ContractID,LocationID,Latitude,Longitude,CITY,POSTALCODE,CRESTA,COUNTRYISO,RiskCount,ConstructionCodeType,ConstructionCode,OccupancyCodeType,OccupancyCode,YEARBUILT,STORIES,RepValBldg,RepValCont,DeductBldg,DeductType,Currency,CustomElevation
SV074693705,209453,48.666634,10.175918,Heidenheim,89522,89,DE,1,AIR,100,AIR,303,0,0,966641,0,5000,C,EUR,-999
SV074693705,209515,48.684714,10.148576,Heidenheim,89518,89,DE,1,AIR,100,AIR,303,0,0,1007505,0,5000,C,EUR,-999
SV074693705,209565,48.686068,10.149621,Heidenheim,89518,89,DE,1,AIR,100,AIR,303,0,0,1055349,0,5000,C,EUR,-999
SV074693705,209600,48.686194,10.148709,Heidenheim,89518,89,DE,1,AIR,100,AIR,303,0,0,1104420,0,5000,C,EUR,-999
SV074744390,324720,52.67849,13.587621,Bernau,16321,16,DE,1,AIR,100,AIR,303,0,0,7546410,0,2500,C,EUR,-999
SV074744390,324754,52.675352,13.581541,Bernau,16321,16,DE,1,AIR,100,AIR,303,0,0,1267616.125,0,2500,C,EUR,-999
SV074744390,324788,52.68431,13.594956,Bernau,16321,16,DE,1,AIR,100,AIR,303,0,0,1768461.75,0,2500,C,EUR,-999
SV074744390,324864,52.673382,13.601046,Bernau,16321,16,DE,1,AIR,100,AIR,303,0,0,4229263,0,2500,C,EUR,-999
SV074744390,324866,52.678472,13.586199,Bernau,16321,16,DE,1,AIR,100,AIR,303,0,0,1351081,0,2500,C,EUR,-999
SV075347288,264684,53.619788,10.00919,Hamburg,22335,22,DE,1,AIR,100,AIR,303,0,0,199472,0,2500,C,EUR,-999
SV075347288,264775,53.571427,10.070621,Hamburg,22041,22,DE,1,AIR,100,AIR,303,0,0,1695512,0,2500,C,EUR,-999
SV074744390,324634,52.677257,13.589938,Bernau,16321,16,DE,1,AIR,100,AIR,303,0,0,1087977,0,2500,C,EUR,-999
SV074678191,210485,53.06909,8.831194,Bremen,28203,28,DE,1,AIR,100,AIR,303,0,0,1027138,0,5000,C,EUR,-999
SV074678191,210521,53.066921,8.852057,Bremen,28205,28,DE,1,AIR,100,AIR,303,0,0,1009271,0,5000,C,EUR,-999
SV074611237,210836,53.546412,10.034003,Hamburg,20537,20,DE,1,AIR,100,AIR,303,0,0,2016719,0,5000,C,EUR,-999
